YEAR,MONTH,PRODUCT,VALUE
2017,2,Other renewables aggregated,114.417
2017,2,Low carbon,4559.073
2017,2,Fossil fuels,1469.502
2017,3,Hydro,4844.229
2017,3,Solar,1.059
2017,3,Total combustible fuels,1538.982
2017,3,Coal,330.775
2017,3,Oil,179.389
2017,3,Natural gas,912.553
2017,3,Combustible renewables,116.265
2017,3,Net electricity production,6384.27
2017,3,Total imports,33.172
2017,3,Total exports,0.029
2017,3,Electricity supplied,6417.413
2017,3,Distribution losses,519.471
2017,3,Final consumption,5897.942
2017,3,Electricity trade,-33.143
2017,3,Renewables,4961.553
2017,3,Non-renewables,1422.717
2017,3,Others,179.389
2017,3,Other renewables aggregated,116.265
2017,3,Low carbon,4961.553
2017,3,Fossil fuels,1422.717
2017,4,Hydro,4962.182
2017,4,Wind,0.442
2017,4,Solar,0.892
2017,4,Total combustible fuels,1335.705
2017,4,Coal,172.233
2017,4,Oil,169.756
2017,4,Natural gas,883.585
2017,4,Combustible renewables,110.131
2017,4,Net electricity production,6299.221
2017,4,Total imports,21.026
2017,4,Total exports,0.118
2017,4,Electricity supplied,6320.129
2017,4,Distribution losses,415.013
2017,4,Final consumption,5905.116
2017,4,Electricity trade,-20.908
2017,4,Renewables,5073.647
2017,4,Non-renewables,1225.574
2017,4,Others,169.756
2017,4,Other renewables aggregated,110.131
2017,4,Low carbon,5073.647
2017,4,Fossil fuels,1225.574
2017,5,Hydro,5333.332
2017,5,Wind,0.657
2017,5,Solar,1.067
2017,5,Total combustible fuels,1245.414
2017,5,Coal,149.243
2017,5,Oil,175.382
2017,5,Natural gas,831.293
2017,5,Combustible renewables,89.496
2017,5,Net electricity production,6580.47
2017,5,Total imports,4.469
2017,5,Total exports,0.055
2017,5,Electricity supplied,6584.884
2017,5,Distribution losses,550.472
2017,5,Final consumption,6034.412
2017,5,Electricity trade,-4.414
2017,5,Renewables,5424.552
2017,5,Non-renewables,1155.918
2017,5,Others,175.382
2017,5,Other renewables aggregated,89.496
2017,5,Low carbon,5424.552
2017,5,Fossil fuels,1155.918
2017,6,Hydro,5178.952
2017,6,Wind,0.216
2017,6,Solar,1.11
2017,6,Total combustible fuels,1220.131
2017,6,Coal,113.038
2017,6,Oil,171.416
2017,6,Natural gas,833.222
2017,6,Combustible renewables,102.455
2017,6,Net electricity production,6400.409
2017,6,Total imports,0.169
2017,6,Total exports,0.013
2017,6,Electricity supplied,6400.565
2017,6,Distribution losses,397.878
2017,6,Final consumption,6002.687
2017,6,Electricity trade,-0.156
2017,6,Renewables,5282.733
2017,6,Non-renewables,1117.676
2017,6,Others,171.416
2017,6,Other renewables aggregated,102.455
2017,6,Low carbon,5282.733
2017,6,Fossil fuels,1117.676
2017,7,Hydro,5358.936
2017,7,Solar,1.195
2017,7,Total combustible fuels,1215.492
2017,7,Coal,107.484
2017,7,Oil,170.129
2017,7,Natural gas,821.685
2017,7,Combustible renewables,116.194
2017,7,Net electricity production,6575.623
2017,7,Total imports,0.032
2017,7,Total exports,0.045
2017,7,Electricity supplied,6575.61
2017,7,Distribution losses,509.317
2017,7,Final consumption,6066.293
